n: 1, Tiempo: 0
n: 2, Tiempo: 0
n: 3, Tiempo: 0
n: 4, Tiempo: 0
n: 5, Tiempo: 1.19209e-06
n: 6, Tiempo: 1.90735e-06
n: 7, Tiempo: 2.86102e-06
n: 8, Tiempo: 4.05312e-06
n: 9, Tiempo: 7.15256e-06
n: 10, Tiempo: 1.38283e-05
n: 11, Tiempo: 2.7895e-05
n: 12, Tiempo: 5.60284e-05
n: 13, Tiempo: 0.000111103
n: 14, Tiempo: 0.000221014
n: 15, Tiempo: 0.000442028
n: 16, Tiempo: 0.00088191
n: 17, Tiempo: 0.00181389
n: 18, Tiempo: 0.00338006
n: 19, Tiempo: 0.00632095
n: 20, Tiempo: 0.011538
n: 21, Tiempo: 0.0206542
n: 22, Tiempo: 0.0343909
n: 23, Tiempo: 0.0543849
n: 24, Tiempo: 0.0626678
n: 25, Tiempo: 0.116558
n: 26, Tiempo: 0.233155
n: 27, Tiempo: 0.46654
n: 28, Tiempo: 0.932819
n: 29, Tiempo: 1.86548
n: 30, Tiempo: 3.73169
n: 31, Tiempo: 7.46305
n: 32, Tiempo: 14.9248
n: 33, Tiempo: 29.8647
n: 34, Tiempo: 59.7452
n: 35, Tiempo: 119.876
n: 36, Tiempo: 239.287
n: 37, Tiempo: 478.591
n: 38, Tiempo: 968.39
n: 39, Tiempo: 1956.36
n: 40, Tiempo: 3918.4
n: 41, Tiempo: 7748.15
